date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:27	179475/179475	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:26%20GMT	https://tsalaya.com/	ws/tsalaya.com/tsalaya.com/index.html	(from )
17:42:27	343/343	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Mar%202023%2010:42:26%20GMT	https://tsalaya.com/robots.txt		(from )
17:42:27	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2004%20Mar%202023%2010:42:27%20GMT	https://tsalaya.com/xmlrpc.php	ws/tsalaya.com/tsalaya.com/xmlrpc.php	(from https://tsalaya.com/)
17:42:29	38/38	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:28%20GMT	https://tsalaya.com/remote-login.php?wpcom_remote_login=validate	ws/tsalaya.com/tsalaya.com/remote-login4f98.html	(from https://tsalaya.com/)
17:42:30	1342/1342	---MCZ	200	added ('OK')	application/xml	date:Sat,%2004%20Mar%202023%2010:42:29%20GMT	https://tsalaya.com/osd.xml	ws/tsalaya.com/tsalaya.com/osd.xml	(from https://tsalaya.com/)
17:42:31	119771/119771	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2004%20Mar%202023%2010:42:30%20GMT	https://tsalaya.com/feed/	ws/tsalaya.com/tsalaya.com/feed/index.html	(from https://tsalaya.com/)
17:42:31	24/24	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:30%20GMT	https://tsalaya.com/?openidserver=1	ws/tsalaya.com/tsalaya.com/indexdd8f.html	(from https://tsalaya.com/)
17:42:32	1309/1309	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2004%20Mar%202023%2010:42:31%20GMT	https://tsalaya.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	ws/tsalaya.com/tsalaya.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://tsalaya.com/)
17:42:32	898/898	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228e6783c431bf942335dc1a8c4df30b46%22	https://tsalaya.com/comments/feed/	ws/tsalaya.com/tsalaya.com/comments/feed/index.html	(from https://tsalaya.com/)
17:42:32	59158/59158	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:32%20GMT	https://tsalaya.com/2023/02/10/ve-ten-goi-ts-alaya/	ws/tsalaya.com/tsalaya.com/2023/02/10/ve-ten-goi-ts-alaya/index.html	(from https://tsalaya.com/)
17:42:32	68771/68771	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:32%20GMT	https://tsalaya.com/list-of-posts/	ws/tsalaya.com/tsalaya.com/list-of-posts/index.html	(from https://tsalaya.com/)
17:42:34	6761/6761	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bbf1d2-1a69%22	https://tsalaya.com/wp-content/js/bilmur.min.js?i=7&m=202309	ws/tsalaya.com/tsalaya.com/wp-content/js/bilmur.min2b25.js	(from https://tsalaya.com/)
17:42:37	67315/67315	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:34%20GMT	https://tsalaya.com/2023/02/25/boi-nuoc-va-boi-tien-do/	ws/tsalaya.com/tsalaya.com/2023/02/25/boi-nuoc-va-boi-tien-do/index.html	(from https://tsalaya.com/)
17:42:39	130324/130324	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:34%20GMT	https://tsalaya.com/category/life/	ws/tsalaya.com/tsalaya.com/category/life/index.html	(from https://tsalaya.com/)
17:42:39	116358/116358	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:35%20GMT	https://tsalaya.com/category/work/productivity/	ws/tsalaya.com/tsalaya.com/category/work/productivity/index.html	(from https://tsalaya.com/)
17:42:40	179975/179975	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2010:42:34%20GMT	https://tsalaya.com/author/tsalaya/	ws/tsalaya.com/tsalaya.com/author/tsalaya/index.html	(from https://tsalaya.com/)
